"Monitor ID","الفئة","الموضوع","Results المتأثرة","عدد Results","المصدر الرسمي","الوضع الحالي","تاريخ النشر","تاريخ النفاذ","النظام القديم","النظام الجديد","هل يلزم تعديل المشروع الآن؟","Trigger for update","Last checked","Next review"
"LCM-001","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-FAM-CUSTODY-LETTER","1","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_2c37a563-df95-416b-b229-e2d037a3e575.pdf","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-002","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-FAM-VISIT-EXEC | R-EXEC-CUSTODY-VISIT","2","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_a4dccf2e-bd5c-4bcc-8320-9add6037e783.pdf","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-003","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-COMM-IP-COPYRIGHT-ENFORCEMENT","1","https://www.saip.gov.sa/ar/services/copyrights/copyr7","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-004","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-COMM-IP-PATENT-ENFORCEMENT","1","https://www.saip.gov.sa/ar/services/patents/patent-application","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-005","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-PROC-CASSATION-STAY","1","https://www.moj.gov.sa/ar/eServices/pages/aee148d0-b7f7-43eb-b1cf-8eabf4d8b10d.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-006","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-SP-ADMIN-GRIEVANCE-PENDING | R-SP-ADMIN-GRIEVANCE-RESPONSE | R-SP-ADMIN-START","3","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f2f7b465-b576-4f47-a8e7-a9a700f27202/1","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-007","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-ADMIN-EXEC-DEADLINES | R-ADMIN-EXEC-DEMAND","2","https://www.bog.gov.sa/EServices/Pages/tanfeedh.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-008","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-ADMIN-EXEC-INSTRUMENT | R-ADMIN-EXEC-JUDGMENT","2","https://www.bog.gov.sa/MediaCenter/Documents/ERISBTBG.pdf","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-009","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-SP-ADMIN-CASE","1","https://www.bog.gov.sa/EServices/Pages/submit-judicial-requests.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-010","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-SP-ADMIN-JUDGMENT | R-GOV-CASE-MOEN","2","https://www.bog.gov.sa/EServices/Pages/moen.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-011","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-COMM-ARBITRATION-ENFORCE | R-COMM-ARBITRATION-NULLITY-EXEC","2","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/5535039e-13da-43f6-8f53-a9a700f26485/1","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-012","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-COMM-ARBITRATION-AWARD-EXEC","1","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/7e95b5f8-5f24-4d6a-8f39-a9a700f16e0b/1","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-013","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-EXEC-ADD-HEIR","1","https://www.moj.gov.sa/ar/eservices/pages/d3061fe4-6bad-4bc1-b38d-63217c7a76b3.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-014","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-FAM-CUSTODY-EXEC | R-FAM-CUSTODY-DOC | R-FAM-CUSTODY-OBSTRUCTION | R-FAMILY-DOCUMENT-CHECK","4","https://www.moj.gov.sa/ar/eservices/pages/739b4d6e-c736-4d27-ba3e-a6d17dd561aa.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
