"Decision ID","الموضوع","التخصص","Results المتأثرة","عدد Results","السؤال القانوني","النظام","المادة","المصدر الرسمي","الوضع الحالي","مستوى الخطورة","Recommendation from audit","Lawyer Decision","Approved wording","Date approved","Lawyer name / reference","Requires future monitoring?","Review date"
"LD-001","طرق الاعتراض والمدد — نظام المرافعات الشرعية","القضاء العام والمرافعات","R-JUDGMENT-DEADLINE-REVIEW | R-JUDGMENT-OBJECT | R-JUDGMENT-CORRECTION | R-JUDGMENT-INTERPRET | R-PROC-APPEAL | R-PROC-APPEAL-URGENT | R-PROC-CASSATION | R-PROC-DEADLINE-EXPIRED | R-PROC-RECONSIDERATION | R-CASE-INTERRUPTION","10","ما مقدار المدة وبدايتها ونهايتها والاستثناءات وأثر فواتها وفق النص المطبق على هذه الحالة؟","نظام المرافعات الشرعية","نظام المرافعات الشرعية — المادتان 171–172 | نظام المرافعات الشرعية — المادتان 173–174 | نظام المرافعات الشرعية — المواد 176–190، وبخاصة 179 و187–188 | نظام المرافعات الشرعية — المواد 178–190، وبخاصة 179 و187–190 | نظام المرافعات الشرعية — المواد 193–199 | نظام المرافعات الشرعية — المواد 179–180 و187 و194 و200–204 | نظام المرافعات الشرعية — المواد 200–204، وبخاصة المادة 201 | نظام المرافعات الشرعية — المواد 88–91","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f0eaae46-9f84-40ee-815e-a9a700f268b3/1 | https://www.moj.gov.sa/ar/eservices/pages/3f275eb8-cf00-4a70-9e1d-e7aa2256bd75.aspx | https://moj.gov.sa/ar/eServices/Pages/cba332a0-28b8-4ce0-ab00-ef4ddeb9ab64.aspx | https://www.moj.gov.sa/ar/eServices/pages/aee148d0-b7f7-43eb-b1cf-8eabf4d8b10d.aspx | https://www.moj.gov.sa/ar/eServices/pages/34a53f98-57e0-4f8b-9bad-78a095ebae4b.aspx","PARTIALLY VERIFIED","CRITICAL","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","NO",""
"LD-002","التكاليف القضائية — القضاء العام والمرافعات","القضاء العام والمرافعات","R-PROC-URGENT | R-CASE-DEPOSIT-MEMO | R-CASE-EXPERT | R-CASE-FIRST-DEFENSE-MEMO | R-CASE-MONITOR | R-CASE-RESUME | R-CASE-STAY | R-CASE-WITHDRAW | R-NAJIZ-READ-REASON | R-NAJIZ-WAIT-AUDIT | R-CIVIL-EXPLOITATION | R-CIVIL-LIMITATION | R-CIVIL-SALE-DEFECT | R-CIVIL-SALE-HIDDEN-DEFECT | R-CIVIL-TORT-DAMAGES","15","ما مقدار المدة وبدايتها ونهايتها والاستثناءات وأثر فواتها وفق النص المطبق على هذه الحالة؟","نظام المرافعات الشرعية | نظام المعاملات المدنية","نظام المرافعات الشرعية — المواد 205–211؛ نظام التكاليف القضائية ولائحته التنفيذية | وزارة العدل — طلب إيداع مذكرة | وزارة العدل — طلب مذكرة الدفاع الأولى؛ نظام المرافعات الشرعية — المادة 45 بحسب المحكمة ونوع الدعوى | نظام المرافعات الشرعية — المواد 86–91؛ اللائحة التنفيذية للتكاليف القضائية — تكلفة طلب السير قبل انتهاء الوقف الاتفاقي؛ وزارة العدل — طلب استمرار السير في الدعوى | نظام المرافعات الشرعية — المادتان 86–87؛ وزارة العدل — طلب وقف السير في الدعوى | المادة 68: للمحكمة إنقاص التزامات المغبون أو زيادة التزامات الطرف الآخر أو إبطال العقد، ويجب رفع الدعوى خلال 180 يومًا من تاريخ التعاقد وإلا امتنع سماعها. | المادتان 68–69 | المادتان 295 و296 من نظام المعاملات المدنية، مع وجوب فحص بقية مواد الفرع والنصوص الخاصة قبل تقرير المدة النهائية. | المواد 295–306 | المواد 338–344","https://moj.gov.sa/ar/eservices/pages/d73f20f6-8693-4381-9a5a-1f7120815918.aspx | https://www.moj.gov.sa/ar/eservices/pages/d37abd59-ae3b-4881-9a13-4322bac124e1.aspx | https://www.moj.gov.sa/ar/eservices/pages/fbe131b9-406f-4fae-9438-64e2f259e3e8.aspx | https://www.moj.gov.sa/ar/eServices/pages/bcdcda2b-1b77-428b-ae80-0dfc04bf07fa.aspx | https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx | https://www.moj.gov.sa/ar/eServices/pages/7f9f1f8e-a582-4268-8c55-af8a9d9761ee.aspx | https://www.moj.gov.sa/ar/eservices/pages/d1ef87c9-918d-4106-81a3-1b937f114c27.aspx | https://www.moj.gov.sa/ar/eServices/Pages/5ccadb53-2b3c-4f58-b898-5b0d481c903a.aspx | https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1 | https://www.moj.gov.sa/ar/eservices/pages/928b8f02-19a7-482b-ba0e-29a151d9a900.aspx","PARTIALLY VERIFIED | VERIFIED","HIGH","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","NO",""
"LD-003","طرق الاعتراض والمدد — تحديد النظام الإجرائي المطبق","القضاء العام والمرافعات","R-CRIM-JUDGMENT-PROCEDURE | R-JUDGMENT-APPEAL-STATUS | R-JUDGMENT-CASSATION | R-JUDGMENT-CHECK-STAGE | R-JUDGMENT-COPY | R-JUDGMENT-OPPONENT-APPEAL | R-JUDGMENT-RECONSIDERATION-REVIEW | R-JUDGMENT-SUPREME-STATUS | R-CRIM-COURT | R-NAJIZ-JUDICIAL-COSTS-OBJECTION","10","ما مقدار المدة وبدايتها ونهايتها والاستثناءات وأثر فواتها وفق النص المطبق على هذه الحالة؟","","","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx | https://www.moj.gov.sa/ar/eServices/pages/aee148d0-b7f7-43eb-b1cf-8eabf4d8b10d.aspx | https://www.moj.gov.sa/ar/eServices/pages/34a53f98-57e0-4f8b-9bad-78a095ebae4b.aspx | https://moj.gov.sa/ar/Ministry/Courts/Pages/FirstCourts.aspx | https://www.moj.gov.sa/ar/eservices/pages/143507f9-e5db-4423-a0c1-9f489c6c3893.aspx","PROCEDURAL GUIDANCE | PARTIALLY VERIFIED","HIGH","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","NO",""
"LD-004","المدد النظامية — نظام الإثبات نظام الإثبات","القضاء العام والمرافعات","R-EVID-ADMISSION | R-EVID-DIGITAL | R-EVID-DOCUMENT-PRODUCTION | R-EVID-OATH | R-EVID-RES-JUDICATA | R-EVID-WITNESS | R-EVID-WRITING","7","ما مقدار المدة وبدايتها ونهايتها والاستثناءات وأثر فواتها وفق النص المطبق على هذه الحالة؟","نظام الإثبات نظام الإثبات","باب الإقرار — نظام الإثبات | باب الدليل الرقمي — نظام الإثبات | باب إلزام الخصم بتقديم المحررات — نظام الإثبات | باب اليمين — نظام الإثبات | باب القرائن وحجية الأمر المقضي — نظام الإثبات | باب الشهادة — نظام الإثبات | أبواب المحررات والكتابة — نظام الإثبات","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/2716057c-c097-4bad-8e1e-ae1400c678d5/1","PARTIALLY VERIFIED","HIGH","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","NO",""
"LD-005","المدد النظامية — نظام المرافعات الشرعية","القضاء العام والمرافعات","R-JUDGMENT-OMITTED-REQUEST | R-PROC-DEADLINE-CALC | R-CASE-STRUCK-REVIEW","3","ما مقدار المدة وبدايتها ونهايتها والاستثناءات وأثر فواتها وفق النص المطبق على هذه الحالة؟","نظام المرافعات الشرعية","نظام المرافعات الشرعية — المادة 175 | نظام المرافعات الشرعية — المواد 21–22 و194 | وزارة العدل — طلب إعادة النظر في قضية مشطوبة؛ نظام المرافعات الشرعية — أحكام شطب الدعوى بحسب النظام المنطبق","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f0eaae46-9f84-40ee-815e-a9a700f268b3/1","PARTIALLY VERIFIED","HIGH","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","NO",""
"LD-006","المدد النظامية — القضاء العام والمرافعات","القضاء العام والمرافعات","R-CRIM-CIVIL-GATE | R-CASE-INTERVENTION | R-CASE-JOIN","3","ما مقدار المدة وبدايتها ونهايتها والاستثناءات وأثر فواتها وفق النص المطبق على هذه الحالة؟","","","https://moj.gov.sa/ar/Ministry/Courts/Pages/FirstCourts.aspx | https://www.moj.gov.sa/ar/eServices/Pages/f0778b45-0b49-4612-aef8-42e432d3b773.aspx | https://www.moj.gov.sa/ar/eServices/pages/6d7b2dff-62e9-4d1e-b125-d6cc7d1cc1eb.aspx","PROCEDURAL GUIDANCE | PARTIALLY VERIFIED","HIGH","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","NO",""
"LD-007","الاختصاص والجهة — نظام الإجراءات الجزائية ولائحته التنفيذية","القضاء العام والمرافعات","R-CRIM-INVESTIGATION-PROCEDURE","1","هل الجهة والمحكمة ونوع الإجراء المحددة صحيحة لكل صور الحالة والاستثناءات المحتملة؟","نظام الإجراءات الجزائية ولائحته التنفيذية","الباب الرابع ينظم الاستجواب والمواجهة، أمر التوقيف، الإفراج المؤقت، وإنهاء التحقيق والتصرف في الدعوى.","https://www.moj.gov.sa/Documents/Regulations/pdf/LawOfCriminalProcedureAndItsExecutiveRegulations.pdf","PARTIALLY VERIFIED","HIGH","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","NO",""
"LD-008","المدد النظامية — نظام المرافعات الشرعية نظام المرافعات الشرعية","القضاء العام والمرافعات","R-PROC-ABSENCE","1","ما مقدار المدة وبدايتها ونهايتها والاستثناءات وأثر فواتها وفق النص المطبق على هذه الحالة؟","نظام المرافعات الشرعية نظام المرافعات الشرعية","باب حضور الخصوم وغيابهم — نظام المرافعات الشرعية","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f0eaae46-9f84-40ee-815e-a9a700f268b3/1","PARTIALLY VERIFIED","HIGH","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","NO",""
"LD-009","الاختصاص والجهة — نظام المرافعات الشرعية نظام المرافعات الشرعية","القضاء العام والمرافعات","R-PROC-DEFENSES","1","هل الجهة والمحكمة ونوع الإجراء المحددة صحيحة لكل صور الحالة والاستثناءات المحتملة؟","نظام المرافعات الشرعية نظام المرافعات الشرعية","باب الدفوع — نظام المرافعات الشرعية","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f0eaae46-9f84-40ee-815e-a9a700f268b3/1","PARTIALLY VERIFIED","HIGH","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","NO",""
"LD-010","طرق الاعتراض والمدد — نظام التكاليف القضائية","القضاء العام والمرافعات","R-PROC-JUDICIAL-COSTS","1","ما مقدار المدة وبدايتها ونهايتها والاستثناءات وأثر فواتها وفق النص المطبق على هذه الحالة؟","نظام التكاليف القضائية","نظام التكاليف القضائية — المواد 11–13","https://www.moj.gov.sa/ar/eservices/pages/143507f9-e5db-4423-a0c1-9f489c6c3893.aspx","PARTIALLY VERIFIED","HIGH","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","NO",""
