Source ID,Title,Authority,URL,Usage Status,Used by Results,Disposition
"SRC-ABSHER-CIVIL-SERVICES","خدمات الأحوال المدنية الإلكترونية","منصة أبشر — وزارة الداخلية","https://www.absher.sa/","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-ABSHER-NATIONAL-ID","خدمات الهوية الوطنية — تجديد وبدل فاقد وبدل تالف","منصة أبشر","https://www.absher.sa/wps/portal/individuals/static/NewServices/","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BOE-ARBITRATION","نظام التحكيم","هيئة الخبراء بمجلس الوزراء","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/5535039e-13da-43f6-8f53-a9a700f26485/1","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BOE-BANKRUPTCY","نظام الإفلاس","هيئة الخبراء بمجلس الوزراء","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/68204119-84f1-4789-8fad-a9ec014c3788/1","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BOE-CIVIL-PROCEDURE","نظام المرافعات الشرعية","هيئة الخبراء بمجلس الوزراء","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f0eaae46-9f84-40ee-815e-a9a700f268b3/1","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BOE-COMMERCIAL-COURTS","نظام المحاكم التجارية","هيئة الخبراء بمجلس الوزراء","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/38334008-3b70-4c6c-b3af-aba3016a8061/1","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BOE-COMMERCIAL-PAPERS","نظام الأوراق التجارية","هيئة الخبراء بمجلس الوزراء","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/4763eb94-047b-46f1-9697-a9a700f1b7ed/1","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BOE-CRIM-PROC","نظام الإجراءات الجزائية","هيئة الخبراء بمجلس الوزراء","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/8f1b7079-a5f0-425d-b5e0-a9a700f26b2d/1","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BOE-CRIM-REG","اللائحة التنفيذية لنظام الإجراءات الجزائية","هيئة الخبراء بمجلس الوزراء","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/9a0249b7-f835-48fa-8d1e-a9a700f1981a/1","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BOE-ENFORCEMENT-LAW","نظام التنفيذ","هيئة الخبراء بمجلس الوزراء","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/c81ba2f1-1bf1-443b-9b1c-a9a700f27110/1","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BOE-EVIDENCE","نظام الإثبات","هيئة الخبراء بمجلس الوزراء","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/2716057c-c097-4bad-8e1e-ae1400c678d5/1","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BOE-JUDICIAL-COSTS","نظام التكاليف القضائية","هيئة الخبراء بمجلس الوزراء","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/3e368087-7b31-46e7-8005-ada100b8f703/1","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BOE-JUDICIARY","نظام القضاء","هيئة الخبراء بمجلس الوزراء","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/ea1765a3-dec3-41a0-a32f-a9a700f26d58/1","UNUSED / RESERVED","0","Retained; not presented by any current Result"
