"Result ID","القطاع","السؤال/المسار الذي يصل إليه","وضعك باختصار","وش تسوي الآن؟","الجهة المختصة","المحكمة إن وجدت","الخدمة/المنصة","المتطلبات","المستندات","المدة","الرسوم","الاعتراض","الخطوة التالية","النظام","اللائحة","المادة/المواد","المصدر الرسمي","رابط المصدر","تاريخ آخر تحقق","الثبات","تصنيف التحقق","سبب تصنيف التحقق","مستوى الخطورة القانونية","سبب مستوى الخطورة","هل تحتاج اعتماد محامٍ؟","السؤال المحدد للمحامي","Approved / Needs Change","Lawyer Notes"
"R-FAM-CUSTODY-LETTER","الأحوال الشخصية والتركات","Q001: وش صار معك؟ ← عندي طلب تنفيذ أو إجراء تنفيذ → Q040: وش وضع التنفيذ؟ ← الطلب انتهى أو توقف وما أعرف السبب → Q202: الطلب منتهي أو متوقف مؤقت؟ ← الطلب منتهٍ أو ما أعرف سبب التوقف → QD04: وش اللي مو واضح لك في التنفيذ؟ ← ما أعرف إجراء تنفيذ الحضانة أو الزيارة → Q327: وش تحتاج في تنفيذ الحضانة أو الزيارة؟ ← عندي حكم والتنفيذ قائم لكن أبي أفهم مسار الحضانة/الزيارة → Q331: حكم الحضانة أو الزيارة موجود، وش مشكلتك الآن؟ ← أحتاج خطاب حضانة ضمن طلب التنفيذ","لديك طلب تنفيذ قائم لسند حضانة وتحتاج خطاب حضانة ضمن إجراءات التنفيذ.","افتح طلب التنفيذ > طلبات إجراء أخرى > طلب إصدار خطاب حضانة > حدد المنفذ ضده > أرسل الطلب. يشترط أن يكون نوع السند «حضانة»، وأن تكون حالة الطلب قيد التنفيذ، وأن يمضي يومان عمل من إحالة الطلب للدائرة، وألا يوجد طلب مماثل لم يمض عليه 15 يومًا.","وزارة العدل — محكمة الأحوال الشخصية/ناجز بحسب نوع الإجراء.","محكمة الأحوال الشخصية","طلب إصدار خطاب حضانة | طلب إجراء داخل تنفيذ سند حضانة قائم.","","","","الدعاوى والطلبات التي تختص بها محاكم الأحوال الشخصية مستثناة من نظام التكاليف القضائية، عدا طلب النقض والتماس إعادة النظر.","تابع حالة الطلب ورقم الطلب في المنصة نفسها. إذا أعيد للاستكمال، استكمل النقص على الطلب القائم ولا تنشئ طلبًا جديدًا إلا إذا نصت الخدمة على ذلك.","تابع حالة الطلب ورقم الطلب في المنصة نفسها. إذا أعيد للاستكمال، استكمل النقص على الطلب القائم ولا تنشئ طلبًا جديدًا إلا إذا نصت الخدمة على ذلك.","","","","وزارة العدل — طلب إصدار خطاب حضانة","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_2c37a563-df95-416b-b229-e2d037a3e575.pdf","2026-09-22","قابلة للتغير","STALE RISK","نظام تنفيذ جديد نُشر في 2026 وسيحل محل النظام السابق بعد 180 يومًا؛ يلزم تثبيت تاريخ النفاذ وخطة تحديث النتيجة.","CRITICAL","خطأ محتمل قد يوجه لمحكمة/إجراء غير صحيح أو يفوّت مهلة؛ وهو من الحالات الحساسة المحددة للاعتماد.","نعم","هل استثناء الأحوال الشخصية من التكاليف يشمل هذا الطلب التنفيذي تحديدًا، وما الاستثناءات؟","NEEDS REVIEW",""
"R-FAM-VISIT-EXEC","الأحوال الشخصية والتركات","Q001: وش صار معك؟ ← أحوال شخصية → Q060: وش المشكلة الأسرية اللي عندك؟ ← حضانة أو زيارة → Q403: وش موضوع الحضانة أو الزيارة؟ ← عندي حكم وأبي تنفيذه → Q074: عندك حكم حضانة أو زيارة؟ ← حكم زيارة","لديك سند تنفيذي ينص على الزيارة وتريد تنفيذ الحكم.","إذا لم يوجد طلب تنفيذ فابدأ بـ«تقديم طلب تنفيذ» في الأحوال الشخصية. وإذا كان الطلب قائمًا فاستخدم خدمة الزيارة المتاحة؛ وزارة العدل تعرض «طلب إصدار خطاب زيارة» لطالب التنفيذ لتنفيذ حكم الزيارة المنصوص عليه في السند.","وزارة العدل — محكمة الأحوال الشخصية/ناجز بحسب نوع الإجراء.","محكمة الأحوال الشخصية","طلب إصدار خطاب زيارة | ناجز | طلب إجراء داخل ملف تنفيذ أحوال شخصية لسند زيارة.","سند تنفيذي يتضمن الزيارة، طلب تنفيذ قائم عند استخدام الإجراء اللاحق، واستيفاء الشروط التي تظهر للخدمة في ناجز.","","","الدعاوى والطلبات التي تختص بها محاكم الأحوال الشخصية مستثناة من نظام التكاليف القضائية، عدا طلب النقض والتماس إعادة النظر.","بعد إصدار خطاب/إجراء الزيارة ينتقل التنفيذ للجهة المختصة وفق السند، وتتابع حالة الإجراء من طلب التنفيذ.","بعد إصدار خطاب/إجراء الزيارة ينتقل التنفيذ للجهة المختصة وفق السند، وتتابع حالة الإجراء من طلب التنفيذ.","","","","وزارة العدل — طلب إصدار خطاب زيارة","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_a4dccf2e-bd5c-4bcc-8320-9add6037e783.pdf","2026-09-22","قابلة للتغير","STALE RISK","نظام تنفيذ جديد نُشر في 2026 وسيحل محل النظام السابق بعد 180 يومًا؛ يلزم تثبيت تاريخ النفاذ وخطة تحديث النتيجة.","CRITICAL","خطأ محتمل قد يوجه لمحكمة/إجراء غير صحيح أو يفوّت مهلة؛ وهو من الحالات الحساسة المحددة للاعتماد.","نعم","هل استثناء الأحوال الشخصية من التكاليف يشمل هذا الطلب التنفيذي تحديدًا، وما الاستثناءات؟","NEEDS REVIEW",""
"R-COMM-IP-COPYRIGHT-ENFORCEMENT","التجاري والشركات والتحكيم والملكية الفكرية","Q001: وش صار معك؟ ← شركة أو نشاط تجاري → Q080: وش المشكلة في الشركة أو النشاط التجاري؟ ← إفلاس أو تحكيم أو ملكية فكرية → Q271: وش نوع التنظيم أو الإجراء التجاري؟ ← علامة تجارية / حقوق مؤلف / براءة / ملكية فكرية → Q121: وش نوع الملكية الفكرية؟ ← حق مؤلف → Q249: حق المؤلف: تسجيل أو تعدٍ؟ ← تعدٍ أو انتهاك أو نزاع","تقول إن هناك تعديًا أو انتهاكًا لحق مؤلف.","استخدم خدمة «شكوى انتهاك حقوق المؤلف» لدى الهيئة السعودية للملكية الفكرية، وقدّم الوثائق والمستندات اللازمة لقيد الشكوى بحسب الواقعة.","وزارة العدل — المحكمة التجارية عند انطباق اختصاصها النظامي.","المحكمة التجارية","لديك حكم نهائي في حق المؤلف وتريد تنفيذه لدى الهيئة | الخدمات الإلكترونية للهيئة السعودية للملكية الفكرية | طلب تنفيذ حكم قضائي نهائي لحق المؤلف","قدّم ما يثبت صفتك والواقعة والوثائق والمستندات اللازمة التي تطلبها خدمة الشكوى. نوع الأدلة يختلف بحسب الانتهاك، فلا تفترض قائمة ثابتة.","الحكم النهائي والنماذج والمستندات المطلوبة.","وقت التنفيذ 10 أيام عمل كمدة خدمة لا مهلة سقوط.","","غير منطبق ظاهرًا","تجمع إدارة احترام الملكية الفكرية البيانات وتحللها، ثم تُحال القضية عند اكتمالها إلى لجنة النظر في مخالفات حماية حقوق المؤلف وفق المسار الرسمي.","","","الخدمة بلا رسوم وفق الهيئة.","الهيئة السعودية للملكية الفكرية — تسجيل مصنف مكتوب","https://www.saip.gov.sa/ar/services/copyrights/copyr7","2026-09-20","قابلة للتغير","STALE RISK","نظام تنفيذ جديد نُشر في 2026 وسيحل محل النظام السابق بعد 180 يومًا؛ يلزم تثبيت تاريخ النفاذ وخطة تحديث النتيجة.","CRITICAL","خطأ محتمل قد يوجه لمحكمة/إجراء غير صحيح أو يفوّت مهلة؛ وهو من الحالات الحساسة المحددة للاعتماد.","نعم","هل المسار شكوى إنفاذ لدى الهيئة أم دعوى تعويض/طعن قضائي، وما الجهة والمهلة لكل مرحلة؟","NEEDS REVIEW",""
"R-COMM-IP-PATENT-ENFORCEMENT","التجاري والشركات والتحكيم والملكية الفكرية","Q001: وش صار معك؟ ← شركة أو نشاط تجاري → Q080: وش المشكلة في الشركة أو النشاط التجاري؟ ← إفلاس أو تحكيم أو ملكية فكرية → Q271: وش نوع التنظيم أو الإجراء التجاري؟ ← علامة تجارية / حقوق مؤلف / براءة / ملكية فكرية → Q121: وش نوع الملكية الفكرية؟ ← براءة اختراع / تصميم → Q250: البراءة أو التصميم: تسجيل أو تعدٍ؟ ← تعدٍ أو انتهاك أو نزاع","تقول إن هناك تعديًا أو نزاعًا متعلقًا ببراءة اختراع أو تصميم.","اجمع وثيقة الحق وحالته وأدلة الفعل والتواريخ، ثم راجعها مع مختص ملكية فكرية لتحديد نطاق الحماية والمسار النظامي المناسب.","وزارة العدل — المحكمة التجارية عند انطباق اختصاصها النظامي.","المحكمة التجارية","لديك حكم قضائي نهائي واجب النفاذ متعلق ببراءة اختراع وتريد تنفيذه لدى الهيئة | الهيئة السعودية للملكية الفكرية أو ناجز بحسب نوع الطلب | طلب تنفيذ حكم قضائي نهائي لبراءات الاختراع","وثيقة الحق ورقمه + حالة الحماية + نطاق الحق + أدلة التعدي المحتمل + بيانات الطرف الآخر.","الحكم والنماذج وجميع المستندات المطلوبة.","وقت التنفيذ المنشور 10 أيام عمل، وهو SLA للخدمة لا مهلة سقوط.","","غير منطبق ظاهرًا","يُقيّم نطاق الحماية مقابل الواقعة، ثم يتحدد مسار الإنفاذ أو النزاع المناسب.","","","الخدمة بلا رسوم وفق الهيئة.","الهيئة السعودية للملكية الفكرية — إيداع طلب براءة اختراع","https://www.saip.gov.sa/ar/services/patents/patent-application","2026-09-20","قابلة للتغير","STALE RISK","نظام تنفيذ جديد نُشر في 2026 وسيحل محل النظام السابق بعد 180 يومًا؛ يلزم تثبيت تاريخ النفاذ وخطة تحديث النتيجة.","CRITICAL","خطأ محتمل قد يوجه لمحكمة/إجراء غير صحيح أو يفوّت مهلة؛ وهو من الحالات الحساسة المحددة للاعتماد.","نعم","هل المسار شكوى إنفاذ لدى الهيئة أم دعوى تعويض/طعن قضائي، وما الجهة والمهلة لكل مرحلة؟","NEEDS REVIEW",""
"R-COMM-IP-SERVICE","التجاري والشركات والتحكيم والملكية الفكرية","Q001: وش صار معك؟ ← شركة أو نشاط تجاري → Q080: وش المشكلة في الشركة أو النشاط التجاري؟ ← إفلاس أو تحكيم أو ملكية فكرية → Q271: وش نوع التنظيم أو الإجراء التجاري؟ ← علامة تجارية / حقوق مؤلف / براءة / ملكية فكرية → Q121: وش نوع الملكية الفكرية؟ ← علامة تجارية → Q122: العلامة التجارية: تسجيل أو تعدٍ؟ ← تسجيل أو إدارة الحق","تريد تسجيل علامة تجارية أو إدارتها.","إذا كنت تريد تسجيل علامة جديدة، استخدم خدمة «تسجيل علامة تجارية» لدى الهيئة السعودية للملكية الفكرية. أما إدارة علامة قائمة فاختر الخدمة الإدارية المطابقة بدل معاملة كل خدمات العلامات كخدمة واحدة.","وزارة العدل — المحكمة التجارية عند انطباق اختصاصها النظامي.","المحكمة التجارية","الخدمات الإلكترونية للهيئة السعودية للملكية الفكرية | اختيار خدمة الهيئة المناسبة بعد تحديد نوع الحق","لتسجيل علامة جديدة: تُعبَّأ بيانات الطلب داخل المنصة، وتُرفق صورة العلامة وفق المواصفات المنشورة. وإذا كانت العلامة بلغة لاتينية فيلزم إرفاق ترجمة من مكتب ترجمة معتمد؛ وتوجد متطلبات إضافية بحسب صفة مقدم الطلب أو نوع العلامة.","المستندات تختلف حسب الخدمة المختارة.","لا مدة أو رسم موحد لكل خدمات الملكية الفكرية.","","بعد سداد فاتورة الدراسة يُفحص الطلب. قد يُقبل، أو يُقبل بشرط التعديل، أو يُرفض. عند القبول تُسدد فاتورة النشر ثم تُنشر العلامة 60 يومًا؛ وإذا انتهت مدة النشر دون اعتراض تُسدد الفاتورة النهائية خلال 30 يومًا من إصدارها ثم تُطبع الشهادة.","بعد سداد فاتورة الدراسة يُفحص الطلب. قد يُقبل، أو يُقبل بشرط التعديل، أو يُرفض. عند القبول تُسدد فاتورة النشر ثم تُنشر العلامة 60 يومًا؛ وإذا انتهت مدة النشر دون اعتراض تُسدد الفاتورة النهائية خلال 30 يومًا من إصدارها ثم تُطبع الشهادة.","","","موقع الهيئة يصف خدمات متكاملة تبدأ بالإرشاد والحماية ثم الإدارة والإنفاذ، مع فصل المجالات والخدمات.","الهيئة السعودية للملكية الفكرية — الأنظمة واللوائح","https://www.saip.gov.sa/ar/resources/lows-and-regulations/systems-and-regulations","2026-09-20","ثابتة نظاميًا نسبيًا","PARTIALLY VERIFIED","المصدر رسمي لكنه لا يثبت آليًا جميع عناصر الاختصاص/المدة/الرسوم المركبة في النتيجة.","CRITICAL","خطأ محتمل قد يوجه لمحكمة/إجراء غير صحيح أو يفوّت مهلة؛ وهو من الحالات الحساسة المحددة للاعتماد.","نعم","هل المسار شكوى إنفاذ لدى الهيئة أم دعوى تعويض/طعن قضائي، وما الجهة والمهلة لكل مرحلة؟","NEEDS REVIEW",""
"R-ADMIN-COMPENSATION","القضاء الإداري والموظف الحكومي","Q001: وش صار معك؟ ← أبي أرفع قضية جديدة أو أعرف المحكمة المناسبة → Q610: إذا ما تعرف المحكمة: وش طبيعة مشكلتك؟ ← قرار أو عقد أو حق ضد جهة حكومية → Q608: وش نوع النزاع الإداري تحديدًا؟ ← تعويض عن قرار أو عمل جهة إدارية","المطالبة بالتعويض عن قرار أو عمل لجهة الإدارة ضمن اختصاص القضاء الإداري.","حدد القرار أو العمل الإداري المسبب للضرر والجهة والطلبات، وافحص التظلم والمدة بحسب سبب التعويض قبل إيداع الدعوى عبر منصة مُعين.","ديوان المظالم؛ معين للقضية ومنصة التنفيذ الإدارية للتنفيذ.","المحكمة الإدارية","دعوى تعويض إدارية","القرار/العمل محل المطالبة، ما يثبت الضرر، العلاقة السببية، والمستندات المؤيدة، وما يثبت الإجراء السابق إذا كان واجبًا.","","","الدعاوى والطلبات التي يختص بها ديوان المظالم مستثناة من نظام التكاليف القضائية.","بعد الإيداع تُراجع الدعوى إجرائيًا، وقد يطلب استكمال النقص؛ وعند القيد تُحال للمحكمة المختصة وتُبلّغ الأطراف، ثم يصدر الحكم وفق الإجراءات النظامية، ويكون الاعتراض بالطريق والمدة المقررين نظامًا بحسب نوع الحكم.","بعد الإيداع تُراجع الدعوى إجرائيًا، وقد يطلب استكمال النقص؛ وعند القيد تُحال للمحكمة المختصة وتُبلّغ الأطراف، ثم يصدر الحكم وفق الإجراءات النظامية، ويكون الاعتراض بالطريق والمدة المقررين نظامًا بحسب نوع الحكم.","نظام ديوان المظالم والمادة 8 من نظام المرافعات أمام ديوان المظالم بحسب منشأ الدعوى نظام ديوان المظالم","","المادة 13 من نظام ديوان المظالم والمادة 8 من نظام المرافعات أمام ديوان المظالم بحسب منشأ الدعوى","هيئة الخبراء بمجلس الوزراء — نظام ديوان المظالم","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/5d3379bd-3547-494e-9fbd-a9a700f26e24/1","2026-09-22","ثابتة نظاميًا نسبيًا","PARTIALLY VERIFIED","يوجد تدقيق تفصيلي ورابط لنص نظامي رسمي، لكن هذا النص بعينه لم يُعد فتحه ومطابقة جميع ادعاءات النتيجة في هذه المرحلة.","CRITICAL","خطأ محتمل قد يوجه لمحكمة/إجراء غير صحيح أو يفوّت مهلة؛ وهو من الحالات الحساسة المحددة للاعتماد.","نعم","هل التظلم السابق واجب؟ وما المدة وبدايتها وأثر فواتها والاستثناءات لهذه الحالة تحديدًا أمام ديوان المظالم؟","NEEDS REVIEW",""
"R-ADMIN-GOV-CONTRACT","القضاء الإداري والموظف الحكومي","Q001: وش صار معك؟ ← أبي أرفع قضية جديدة أو أعرف المحكمة المناسبة → Q610: إذا ما تعرف المحكمة: وش طبيعة مشكلتك؟ ← قرار أو عقد أو حق ضد جهة حكومية → Q608: وش نوع النزاع الإداري تحديدًا؟ ← عقد تكون جهة الإدارة طرفًا فيه","النزاع متعلق بعقد تكون جهة الإدارة طرفًا فيه.","حدد العقد والالتزام والإخلال والطلبات، وأرفق المستندات العقدية ثم أودع الدعوى الإدارية عبر منصة مُعين؛ وبعد صدور سند تنفيذي مشمول بالنظام يكون التنفيذ عبر منصة التنفيذ الإدارية.","ديوان المظالم؛ معين للقضية ومنصة التنفيذ الإدارية للتنفيذ.","المحكمة الإدارية","دعوى عقد إداري","العقد وملاحقه، أوامر التغيير عند وجودها، المراسلات، محاضر الاستلام، المطالبات والحسابات والمستندات المؤيدة.","","","الدعاوى والطلبات التي يختص بها ديوان المظالم مستثناة من نظام التكاليف القضائية.","بعد الإيداع تُراجع الدعوى إجرائيًا، وقد يطلب استكمال النقص؛ وعند القيد تُحال للمحكمة المختصة وتُبلّغ الأطراف، ثم يصدر الحكم وفق الإجراءات النظامية، ويكون الاعتراض بالطريق والمدة المقررين نظامًا بحسب نوع الحكم.","بعد الإيداع تُراجع الدعوى إجرائيًا، وقد يطلب استكمال النقص؛ وعند القيد تُحال للمحكمة المختصة وتُبلّغ الأطراف، ثم يصدر الحكم وفق الإجراءات النظامية، ويكون الاعتراض بالطريق والمدة المقررين نظامًا بحسب نوع الحكم.","نظام ديوان المظالم، ومع التنفيذ نظام التنفيذ أمام ديوان المظالم نظام ديوان المظالم","","المادة 13 من نظام ديوان المظالم، ومع التنفيذ نظام التنفيذ أمام ديوان المظالم","هيئة الخبراء بمجلس الوزراء — نظام ديوان المظالم","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/5d3379bd-3547-494e-9fbd-a9a700f26e24/1","2026-09-22","ثابتة نظاميًا نسبيًا","PARTIALLY VERIFIED","يوجد تدقيق تفصيلي ورابط لنص نظامي رسمي، لكن هذا النص بعينه لم يُعد فتحه ومطابقة جميع ادعاءات النتيجة في هذه المرحلة.","CRITICAL","خطأ محتمل قد يوجه لمحكمة/إجراء غير صحيح أو يفوّت مهلة؛ وهو من الحالات الحساسة المحددة للاعتماد.","نعم","هل التظلم السابق واجب؟ وما المدة وبدايتها وأثر فواتها والاستثناءات لهذه الحالة تحديدًا أمام ديوان المظالم؟","NEEDS REVIEW",""
"R-ADMIN-SERVICE-RIGHTS","القضاء الإداري والموظف الحكومي","Q001: وش صار معك؟ ← أبي أرفع قضية جديدة أو أعرف المحكمة المناسبة → Q610: إذا ما تعرف المحكمة: وش طبيعة مشكلتك؟ ← قرار أو عقد أو حق ضد جهة حكومية → Q608: وش نوع النزاع الإداري تحديدًا؟ ← حقوق موظف حكومي أو عسكري أو تقاعد","مطالبة بحقوق مقررة في نظم الخدمة المدنية أو العسكرية أو التقاعد لموظف/مستخدم حكومي أو مستحق عنه.","تحقق أولًا من التظلم السابق والمدة النظامية المنطبقة على نوع الحق، ثم أودع الدعوى عبر خدمة رفع الدعوى القضائية في منصة مُعين إذا استوفيت شروط القبول.","ديوان المظالم؛ معين للقضية ومنصة التنفيذ الإدارية للتنفيذ.","المحكمة الإدارية","دعوى حقوق وظيفية/خدمة أمام القضاء الإداري","ما يثبت الصفة الوظيفية والحق المطالب به وتاريخ نشوئه، وقرار الجهة أو امتناعها، والتظلم ونتيجته متى كان واجبًا.","","","الدعاوى والطلبات التي يختص بها ديوان المظالم مستثناة من نظام التكاليف القضائية.","بعد الإيداع تُراجع الدعوى إجرائيًا، وقد يطلب استكمال النقص؛ وعند القيد تُحال للمحكمة المختصة وتُبلّغ الأطراف، ثم يصدر الحكم وفق الإجراءات النظامية، ويكون الاعتراض بالطريق والمدة المقررين نظامًا بحسب نوع الحكم.","بعد الإيداع تُراجع الدعوى إجرائيًا، وقد يطلب استكمال النقص؛ وعند القيد تُحال للمحكمة المختصة وتُبلّغ الأطراف، ثم يصدر الحكم وفق الإجراءات النظامية، ويكون الاعتراض بالطريق والمدة المقررين نظامًا بحسب نوع الحكم.","نظام ديوان المظالم والمادة 8 من نظام المرافعات أمام ديوان المظالم نظام ديوان المظالم","","المادة 13(أ) من نظام ديوان المظالم والمادة 8 من نظام المرافعات أمام ديوان المظالم","هيئة الخبراء بمجلس الوزراء — نظام ديوان المظالم","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/5d3379bd-3547-494e-9fbd-a9a700f26e24/1","2026-09-22","ثابتة نظاميًا نسبيًا","PARTIALLY VERIFIED","يوجد تدقيق تفصيلي ورابط لنص نظامي رسمي، لكن هذا النص بعينه لم يُعد فتحه ومطابقة جميع ادعاءات النتيجة في هذه المرحلة.","CRITICAL","خطأ محتمل قد يوجه لمحكمة/إجراء غير صحيح أو يفوّت مهلة؛ وهو من الحالات الحساسة المحددة للاعتماد.","نعم","هل التظلم السابق واجب؟ وما المدة وبدايتها وأثر فواتها والاستثناءات لهذه الحالة تحديدًا أمام ديوان المظالم؟","NEEDS REVIEW",""
"R-GOV-EMPLOYEE-ADMIN","القضاء الإداري والموظف الحكومي","Q001: وش صار معك؟ ← مشكلة عمل أو راتب أو فصل → Q050: أنت تشتغل عند مين؟ ← جهة حكومية أو عسكرية → Q064: أنت موظف جهة حكومية؟ ← نعم، أنا موظف/عامل لدى جهة حكومية → Q065: عندك دعوى قائمة في معين؟ ← لا، ما عندي دعوى قائمة","النزاع مرتبط بوظيفة أو قرار صادر من جهة حكومية، وليس علاقة عمل خاصة عادية.","انتقل لمسار القضاء الإداري ومنصة معين بدل مسار التسوية العمالية الخاصة.","ديوان المظالم","","منصة معين الرقمية","للتقييم الأولي راجع القرار أو الإجراء الإداري وصفة مقدم الدعوى والتواريخ ذات الصلة. متطلبات تقديم الدعوى الفعلية تتحدد داخل خدمة «تقديم دعوى» بمنصة معين.","","","","يمكن عبر منصة معين تقديم الدعوى والطلبات القضائية ومتابعتها وفق نظام المرافعات أمام ديوان المظالم.","يمكن عبر منصة معين تقديم الدعوى والطلبات القضائية ومتابعتها وفق نظام المرافعات أمام ديوان المظالم.","","","","ديوان المظالم — منصة معين الرقمية","https://www.bog.gov.sa/EServices/Pages/moen.aspx","2026-09-20","قابلة للتغير","INFERENCE","النتيجة تحليل إجرائي مرتبط بمصدر رسمي، لكن لا يوجد تحقق قانوني Result-by-Result لها.","CRITICAL","خطأ محتمل قد يوجه لمحكمة/إجراء غير صحيح أو يفوّت مهلة؛ وهو من الحالات الحساسة المحددة للاعتماد.","نعم","ما الاختبار النظامي الذي يفصل خضوع الموظف الحكومي لنظام العمل عن الخدمة المدنية/العسكرية، وما الجهة المختصة لكل فرع؟","NEEDS REVIEW",""
"R-JUDGMENT-DEADLINE-REVIEW","القضاء والتنفيذ وناجز","Q001: وش صار معك؟ ← صدر حكم → Q030: وش وضع الحكم؟ ← صدر حكم درجة أولى → Q032: وش تبي تسوي بالحكم؟ ← أعترض على الحكم → Q205: تعرف متى تبلّغت بالحكم؟ ← نعم، أعرف تاريخ التبليغ → Q033: وش ظاهر لك عند الحكم بخصوص الاعتراض؟ ← ظاهر لي أن مدة الاعتراض انتهت أو الحكم نهائي","الحكم لا يظهر لك الآن كحكم مفتوح للاعتراض أو تقول إن المدة انتهت.","لا تقدم مسارًا عشوائيًا؛ تحقق من حالة الحكم وتاريخ التبليغ/التسليم ونوع القضية، واستعن بمختص إذا كنت تريد إنقاذ طريق اعتراض محتمل.","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","مراجعة مدة الاعتراض | اعتراض/بوابة قرار قضائية","للتأكد من الطريق المتاح راجع الحكم وحالته ونوع القضية وتاريخ التبليغ أو التسليم. هذه معلومات تحقق زمني وليست قائمة مرفقات لخدمة مستقلة.","الحكم وبيانات التبليغ/التسليم.","الاستئناف 30 يومًا و10 للمستعجل؛ النقض 30 يومًا و15 للمستعجل.","لا تكلفة مستقلة لمجرد حساب المدة.","يُحدد بعدها هل يوجد طريق نظامي متاح أم أن الحكم أصبح قطعيًا في مساره.","يُحدد بعدها هل يوجد طريق نظامي متاح أم أن الحكم أصبح قطعيًا في مساره.","نظام المرافعات الشرعية","","","هيئة الخبراء بمجلس الوزراء — نظام المرافعات الشرعية","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f0eaae46-9f84-40ee-815e-a9a700f268b3/1","2026-09-20","ثابتة نظاميًا نسبيًا","PARTIALLY VERIFIED","يوجد تدقيق تفصيلي ورابط لنص نظامي رسمي، لكن هذا النص بعينه لم يُعد فتحه ومطابقة جميع ادعاءات النتيجة في هذه المرحلة.","CRITICAL","خطأ محتمل قد يوجه لمحكمة/إجراء غير صحيح أو يفوّت مهلة؛ وهو من الحالات الحساسة المحددة للاعتماد.","نعم","ما مقدار المدة وبدايتها ونهايتها والاستثناءات وأثر فواتها وفق النص المطبق على هذه الحالة؟","NEEDS REVIEW",""
