"result_id","package","risk","authority","court","service","platform","deadline","costs","articles","source_id","source_authority","source_title","source_url","last_verified","automated_review","human_status","human_notes"
"R-LABOR-WAGE-DIRECT-EXEC","02-القضاء-والتنفيذ-والأحوال","LOW","وزارة الموارد البشرية للتسوية الودية ثم المحكمة العمالية عند تعذر الصلح.","المحكمة العمالية","فحص هل مطالبة الأجر قابلة للتنفيذ مباشرة","ناجز","عند عدم وجود سند: مدة التسوية المهنية 21 يوم عمل من أول جلسة.","التسوية المهنية مجانية وفق HRSD؛ لا تكلفة قضائية موحدة مثبتة لهذه النتيجة.","""""","SRC83-LABSET","وزارة الموارد البشرية والتنمية الاجتماعية","التسوية الودية للخلافات العمالية","https://www.hrsd.gov.sa/ministry-services/services/269970","2026-09-21","REVIEWED","NEEDS_REVIEW",""
"R-MONEY-EXEC-APPLY","02-القضاء-والتنفيذ-والأحوال","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","تقديم طلب تنفيذ","ناجز","مدة الخدمة المنشورة لا تُعامل كمهلة سقوط.","رسوم الخدمة: لا يوجد وفق صفحة الخدمة الحالية.","""""","SRC73-EXEC","وزارة العدل","تقديم طلب تنفيذ","https://www.moj.gov.sa/ar/eservices/pages/1c719954-3463-4754-85e1-1b319b937b86.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-MONEY-CLAIM-FIRST","01-القائد-القانوني-العام","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","صحيفة دعوى","ناجز","لا نضع مهلة موحدة؛ المدد تتحدد بحسب الحق والنظام.","تخضع الدعوى للتكاليف القضائية عند انطباق النظام؛ لا مبلغ موحد.","""""","SRC73-CASE","وزارة العدل","رحلة القضية في وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-MONEY-DEBTOR-STATUS","01-القائد-القانوني-العام","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","استعلام عن طلب تنفيذ","ناجز","مدة تنفيذ الخدمة المنشورة قصيرة/إلكترونية وليست مهلة حق.","لا رسوم مثبتة لهذه الخطوة المعلوماتية.","""""","SRC73-INQ","وزارة العدل","استعلام عن طلب تنفيذ","https://www.moj.gov.sa/ar/eServices/pages/9bd2e276-3110-4e32-a00e-330de0fec9a4.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-EXEC-QUERY","02-القضاء-والتنفيذ-والأحوال","LOW","وزارة العدل — قضاء التنفيذ/ناجز.","","استعلام عن طلب تنفيذ / التحقق من طلب التنفيذ","","","","""""","SRC-RBR-QUERY","وزارة العدل","استعلام عن طلب تنفيذ","https://www.moj.gov.sa/ar/eServices/pages/9bd2e276-3110-4e32-a00e-330de0fec9a4.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-EXEC-PROOF-PAYMENT","02-القضاء-والتنفيذ-والأحوال","LOW","وزارة العدل — قضاء التنفيذ/ناجز.","","إثبات السداد","ناجز","","","""""","SRC-RBR-PAY","وزارة العدل","إثبات السداد","https://www.moj.gov.sa/ar/eServices/pages/0fabf9ed-05ba-497e-9e4e-1e227103fc00.aspx","2026-09-22","REVIEWED","NEEDS_REVIEW",""
"R-EXEC-TRANSFER-SEIZED","02-القضاء-والتنفيذ-والأحوال","LOW","وزارة العدل — قضاء التنفيذ/ناجز.","","طلب تحويل مبلغ محجوز","ناجز","","رسوم الخدمة الإلكترونية: لا يوجد. مدة الخدمة المنشورة 7 أيام وليست مهلة سقوط للحق.","""""","SRC-RBR-TRANSFER","وزارة العدل","طلب تحويل مبلغ محجوز","https://www.moj.gov.sa/ar/eServices/Pages/9bc63703-4291-4cc6-9615-ac15a3cfce36.aspx","2026-09-22","REVIEWED","NEEDS_REVIEW",""
"R-EXEC-GRACE","02-القضاء-والتنفيذ-والأحوال","LOW","وزارة العدل — قضاء التنفيذ/ناجز.","","طلب إمهال - تأجيل السند التنفيذي","ناجز","","رسوم الخدمة الإلكترونية: لا يوجد. لا تخلط ذلك بالتكاليف القضائية التي قد تتعلق بطلب التنفيذ الأصلي.","""""","SRC-RBR-GRACE","وزارة العدل","طلب إمهال - تأجيل السند التنفيذي","https://www.moj.gov.sa/ar/eServices/Pages/a7eef02b-d9ad-4d3f-9ad0-7b9a67399313.aspx","2026-09-22","REVIEWED","NEEDS_REVIEW",""
"R-EXEC-WAIT-GRACE","02-القضاء-والتنفيذ-والأحوال","LOW","وزارة العدل — قضاء التنفيذ/ناجز.","","طلب إمهال - تأجيل السند التنفيذي","ناجز","","","""""","SRC66-GRACE","وزارة العدل","طلب إمهال - تأجيل السند التنفيذي","https://www.moj.gov.sa/ar/eServices/Pages/a7eef02b-d9ad-4d3f-9ad0-7b9a67399313.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-EXEC-REACTIVATE","02-القضاء-والتنفيذ-والأحوال","LOW","وزارة العدل — قضاء التنفيذ/ناجز.","","طلب إعادة تفعيل طلب تنفيذ بعد انتهاء مدة الإمهال","ناجز","","رسوم الخدمة الإلكترونية: لا يوجد.","""""","SRC-RBR-REACT","وزارة العدل","طلب إعادة تفعيل طلب تنفيذ بعد انتهاء مدة الإمهال","https://www.moj.gov.sa/ar/eServices/Pages/42bc9d16-70e4-43ad-bb8d-0a8e156ffb72.aspx","2026-09-22","REVIEWED","NEEDS_REVIEW",""
