"source_id","title","authority","source_type","original_url","final_url","official_domain","official_domain_verified","http_status","access_status","response_method","content_type","https","redirected","verification_status","classification","relation_check","keyword_hits","notes","reason","verification_date","checked_at","last_verified","manual_check_required","legal_review_required","affected_results","affected_count"
"SRC-ABSHER-ACCIDENT-OBJECTION","الاعتراض على الحوادث المرورية","منصة أبشر — وزارة الداخلية","GENERAL_GOVERNMENT_INFORMATION","https://www.absher.sa/wps/portal/individuals/Home/homepublic/contents/!ut/p/z1/lVDLbsIwEPwVeuCIvHZUAkcnSOYpnhHBl8hKTLQVmEKctPw9VsQBhBTaPc2OZh8zRJKYSKMqzJXFk1EH1-9kN-myaUiHPTaZbwZ9WE58H2ZsQQGAbGsBPBWHYMUCD0DMGZH_n3_c9Lf5BoFsXr_WhozfHXEp4Nf5LDmR6clY_WtJXANjizagybDCrFQH1-hCXypMddEqHWrlJWb6gW2Dvaj9HtPOC5PcmYT1nStZ_yQo5UMmYCrEisEy5NTzeUB79PMuaAr-nfXvYxTFP1cPcPRxA47Mm9w!/dz/d5/L0lHSkovd0RNQUprQUVnQSEhLzROVkUvYXI!/","https://www.absher.sa/wps/portal/individuals/Home/homepublic/contents/!ut/p/z1/lVDLbsIwEPwVeuCIvHZUAkcnSOYpnhHBl8hKTLQVmEKctPw9VsQBhBTaPc2OZh8zRJKYSKMqzJXFk1EH1-9kN-myaUiHPTaZbwZ9WE58H2ZsQQGAbGsBPBWHYMUCD0DMGZH_n3_c9Lf5BoFsXr_WhozfHXEp4Nf5LDmR6clY_WtJXANjizagybDCrFQH1-hCXypMddEqHWrlJWb6gW2Dvaj9HtPOC5PcmYT1nStZ_yQo5UMmYCrEisEy5NTzeUB79PMuaAr-nfXvYxTFP1cPcPRxA47Mm9w!/dz/d5/L0lHSkovd0RNQUprQUVnQSEhLzROVkUvYXI!/","www.absher.sa","YES","200","HTTP_200","GET","text/html; charset=UTF-8","YES","NO","ACTIVE","ACTIVE","NEEDS_MANUAL_CONTENT_CHECK","0","الرابط يعمل على HTTPS ونطاق رسمي.","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T16:42:50.176Z","2026-09-20","YES","NO","R-SP-MOTOR-ACCIDENT-OBJECTION","1"
"SRC-ABSHER-DL-RENEW","تجديد رخصة القيادة","منصة أبشر — وزارة الداخلية","OFFICIAL_PROCEDURAL_GUIDE","https://www.absher.sa/wps/wcm/connect/individuals/contents/individuals%2BAR/eServices%2BUser%2BGuide/eServices/Traffic-Services/","https://www.absher.sa/wps/wcm/connect/individuals/contents/individuals%2BAR/eServices%2BUser%2BGuide/eServices/Traffic-Services/","www.absher.sa","YES","200","HTTP_200","GET","text/html; charset=UTF-8","YES","NO","ACTIVE","ACTIVE","LIKELY_RELEVANT","3","الرابط يعمل على HTTPS ونطاق رسمي.","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T16:42:50.176Z","2026-09-20","NO","NO","R-SP-DRIVING-LICENSE-RENEW","1"
"SRC-ABSHER-IQAMA-RENEW","تجديد هوية مقيم","منصة أبشر","OFFICIAL_PROCEDURAL_GUIDE","https://www.absher.sa/wps/portal/individuals/static/guide/service-contents/!ut/p/z1/jVNbc6IwFP4rvvRph8lJgACPCJRYdBexaOHFoRI66SpSiOzuv9_oujOtTqV5OrfvfOcWlKMnlNdFL14KKfZ1sVV6ltM1xr7NSAhT-O67QCMwg6UzxYBNtPoYYJu-DnMviJiPQ32eAso_uKPEV-6Y4kfGdHv8Hw-fPPcCP8x_RXDEw8QwGDZIBEkyBtd1nEXIFgA_yBlverE3sWc6DuPUAnJvGQ8ejcIlWF_jv0HwJTwlUw8zW-GXVNUfkNg27zGBCR2qf4myMcr6LP7WuJfDuGbLb896hfKLfV2vcyjHv4BbAz0F3Op46GYWvEaZatX6tFVG0aoX_BdK6327U3e8OGZdebP1PA0ShW1a3vFans78ke-abSE5yjre9mLDRyWXhdgeIc1GlCizwNSJww1t4xCqGdWzrhVVpWuVrkNZEUoriyMG6GFo2-o7ide3t9xF-WZfS_5boqeTUMvuDkRdil6Uh2KrFH4uphsdlDR6OYiSv7PeQVN0XbNvpXZhamW3PptM1OzS06v_aD-ToPLHM_5szzr3L9DMMpw!!/dz/d5/L0lHSkovd0RNQUZrQUVnQSEhLzROVkUvYXI!/","https://www.absher.sa/wps/portal/individuals/static/guide/service-contents/!ut/p/z1/jVNbc6IwFP4rvvRph8lJgACPCJRYdBexaOHFoRI66SpSiOzuv9_oujOtTqV5OrfvfOcWlKMnlNdFL14KKfZ1sVV6ltM1xr7NSAhT-O67QCMwg6UzxYBNtPoYYJu-DnMviJiPQ32eAso_uKPEV-6Y4kfGdHv8Hw-fPPcCP8x_RXDEw8QwGDZIBEkyBtd1nEXIFgA_yBlverE3sWc6DuPUAnJvGQ8ejcIlWF_jv0HwJTwlUw8zW-GXVNUfkNg27zGBCR2qf4myMcr6LP7WuJfDuGbLb896hfKLfV2vcyjHv4BbAz0F3Op46GYWvEaZatX6tFVG0aoX_BdK6327U3e8OGZdebP1PA0ShW1a3vFans78ke-abSE5yjre9mLDRyWXhdgeIc1GlCizwNSJww1t4xCqGdWzrhVVpWuVrkNZEUoriyMG6GFo2-o7ide3t9xF-WZfS_5boqeTUMvuDkRdil6Uh2KrFH4uphsdlDR6OYiSv7PeQVN0XbNvpXZhamW3PptM1OzS06v_aD-ToPLHM_5szzr3L9DMMpw!!/dz/d5/L0lHSkovd0RNQUZrQUVnQSEhLzROVkUvYXI!/","www.absher.sa","YES","200","HTTP_200","GET","text/html; charset=UTF-8","YES","NO","ACTIVE","ACTIVE","NEEDS_MANUAL_CONTENT_CHECK","0","الرابط يعمل على HTTPS ونطاق رسمي.","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T16:42:50.176Z","2026-09-19","YES","NO","R-IQAMA-RENEW","1"
"SRC-ABSHER-MOTOR-AUTH","تفويض مركبة","منصة أبشر — وزارة الداخلية","OFFICIAL_PROCEDURAL_GUIDE","https://www.absher.sa/wps/portal/individuals/static/guide/service-contents/","https://www.absher.sa/wps/portal/individuals/static/guide/service-contents/","www.absher.sa","YES","200","HTTP_200","GET","text/html; charset=UTF-8","YES","NO","ACTIVE","ACTIVE","NEEDS_MANUAL_CONTENT_CHECK","0","الرابط يعمل على HTTPS ونطاق رسمي.","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T16:42:50.176Z","2026-09-20","YES","NO","R-SP-MOTOR-AUTH","1"
"SRC-ABSHER-NATIONAL-ID","خدمات الهوية الوطنية — تجديد وبدل فاقد وبدل تالف","منصة أبشر","OFFICIAL_SERVICE_PAGE","https://www.absher.sa/wps/portal/individuals/static/NewServices/","https://www.absher.sa/wps/portal/individuals/static/NewServices/","www.absher.sa","YES","200","HTTP_200","GET","text/html; charset=UTF-8","YES","NO","ACTIVE","ACTIVE","NEEDS_MANUAL_CONTENT_CHECK","0","الرابط يعمل على HTTPS ونطاق رسمي.","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T16:42:50.176Z","2026-09-19","YES","NO","","0"
"SRC-ABSHER-PASSPORT-SERVICES","خدمات الجواز السعودي","منصة أبشر","OFFICIAL_PROCEDURAL_GUIDE","https://www.absher.sa/wps/wcm/connect/individuals/contents/individuals/eServices%2BUser%2BGuide/eServices/Passport-Services/","https://www.absher.sa/wps/wcm/connect/individuals/contents/individuals/eServices%2BUser%2BGuide/eServices/Passport-Services/","www.absher.sa","YES","200","HTTP_200","GET","text/html; charset=UTF-8","YES","NO","ACTIVE","ACTIVE","NEEDS_MANUAL_CONTENT_CHECK","0","الرابط يعمل على HTTPS ونطاق رسمي.","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T16:42:50.176Z","2026-09-19","YES","NO","R-PASSPORT-SA-RENEW | R-PASSPORT-SA-ISSUE | R-PASSPORT-SA-LOST","3"
"SRC-ABSHER-REG-RENEW","تجديد رخصة السير","منصة أبشر — وزارة الداخلية","OFFICIAL_PROCEDURAL_GUIDE","https://www.absher.sa/wps/wcm/connect/individuals/contents/individuals%2BAR/eServices%2BUser%2BGuide/eServices/Traffic-Services/","https://www.absher.sa/wps/wcm/connect/individuals/contents/individuals%2BAR/eServices%2BUser%2BGuide/eServices/Traffic-Services/","www.absher.sa","YES","200","HTTP_200","GET","text/html; charset=UTF-8","YES","NO","ACTIVE","ACTIVE","LIKELY_RELEVANT","3","الرابط يعمل على HTTPS ونطاق رسمي.","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T16:42:50.176Z","2026-09-20","NO","NO","R-SP-MOTOR-REG-RENEW","1"
"SRC-ABSHER-TRAFFIC-OBJECTION","الاعتراض على المخالفات المرورية — أبشر","منصة أبشر","OFFICIAL_PROCEDURAL_GUIDE","https://www.absher.sa/wps/portal/individuals/static/guide/service-contents/!ut/p/z0/tY5NC4JAFEX_ii1cxntTKLa0DKUi-qJyNjHoGK9iqplR-vlZVEit2917uFwOcNgCV6KivbB0VuJU95T7O8aiIOnEOMFpFKI_Rm-47k0YMg-WQsMIeHMUjBcRzgczn62SpBv0vccLHa5XHgLPzsrKm4XtMyhrXCSVU0V5KU7GEdpFaaSuKJPGKevk7EvKZYO6aLUoCsrab_It8Gv5Z4EP2b0IY3A5xps2T1t3wDxqyA!!/","https://www.absher.sa/wps/portal/individuals/static/guide/service-contents/!ut/p/z0/tY5NC4JAFEX_ii1cxntTKLa0DKUi-qJyNjHoGK9iqplR-vlZVEit2917uFwOcNgCV6KivbB0VuJU95T7O8aiIOnEOMFpFKI_Rm-47k0YMg-WQsMIeHMUjBcRzgczn62SpBv0vccLHa5XHgLPzsrKm4XtMyhrXCSVU0V5KU7GEdpFaaSuKJPGKevk7EvKZYO6aLUoCsrab_It8Gv5Z4EP2b0IY3A5xps2T1t3wDxqyA!!/","www.absher.sa","YES","200","HTTP_200","GET","text/html; charset=UTF-8","YES","NO","ACTIVE","ACTIVE","LIKELY_RELEVANT","4","الرابط يعمل على HTTPS ونطاق رسمي.","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T16:42:50.176Z","2026-09-20","NO","NO","R-SP-TRAFFIC-VIOLATION-OBJECTION","1"
"SRC-ABSHER-TRAFFIC-SERVICES","خدمات المرور الإلكترونية","منصة أبشر — وزارة الداخلية","OFFICIAL_PROCEDURAL_GUIDE","https://absher.sa/wps/wcm/connect/individuals/contents/individuals%2BAR/eServices%2BUser%2BGuide/eServices/Traffic-Services/","https://absher.sa/wps/wcm/connect/individuals/contents/individuals%2BAR/eServices%2BUser%2BGuide/eServices/Traffic-Services/","absher.sa","YES","200","HTTP_200","GET","text/html; charset=UTF-8","YES","NO","ACTIVE","ACTIVE","LIKELY_RELEVANT","3","الرابط يعمل على HTTPS ونطاق رسمي.","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T16:42:50.176Z","2026-09-20","NO","NO","R-SP-MOTOR-PLATE-LOST | R-SP-MOTOR-PLATE-REPLACE","2"
"SRC-ABSHER-VISAS","إصدار تأشيرة الخروج والعودة أو الخروج النهائي — أبشر","منصة أبشر","OFFICIAL_PROCEDURAL_GUIDE","https://www.absher.sa/wps/wcm/connect/individuals/contents/individuals/eServices%2BUser%2BGuide/eServices/Passport-Services/","https://www.absher.sa/wps/wcm/connect/individuals/contents/individuals/eServices%2BUser%2BGuide/eServices/Passport-Services/","www.absher.sa","YES","200","HTTP_200","GET","text/html; charset=UTF-8","YES","NO","ACTIVE","ACTIVE","NEEDS_MANUAL_CONTENT_CHECK","0","الرابط يعمل على HTTPS ونطاق رسمي.","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T16:42:50.176Z","2026-09-20","YES","NO","R-PASSPORT-VISA-GUIDE | R-PASSPORT-EXITREENTRY-EXTEND | R-PASSPORT-VISA-CANCEL | R-PASSPORT-VISIT-EXTEND | R-PASSPORT-VISIT-DEPART","5"
